Filename,Original Caption,Modified Caption
image_1.jpg,a white globe with a puzzle piece and the word w on it,a white globe with a puzzle piece and the word w on it
image_2.jpg,an open book with a question mark on it,an open book with a question mark on it
image_3.jpg,a close up of a button with a white exclamation on it,a close up of a button with a white exclamation on it
image_4.jpg,yellow broom with red ribbon and wooden handle on black background,yellow broom with red ribbon and wooden handle on black background
image_5.jpg,a red question mark on a sheet of paper with a black background,a red question mark on a sheet of paper with a black background
image_6.jpg,a white book with a black background and a white outline,a white book with a black background and a white outline
image_7.jpg,the university of pasundan logo,the university of pasundan logo
image_8.jpg,there is a man that is standing in the dark with a cell phone,there is a man that is standing in the dark with a cell phone
image_9.jpg,a close up of a camera with a blurry background,a close up of a camera with a blurry background
image_10.jpg,a close up of a television screen with a red and blue strip,a close up of a television screen with a red and blue strip
image_11.jpg,there is a large building with a flag on top of it,there is a large building with a flag on top of it
image_12.jpg,Unable to generate caption,Unable to generate caption
